molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL324842,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,intermediate,360.3180000000001,1.7612999999999996,5.0,7.0,5.045757490560675
CHEMBL304722,O=C(CC(O)CCc1ccc(O)c(O)c1)O[C@H]1Cc2cc(O)c(O)cc2O[C@H]1c1ccc(O)c(O)c1,intermediate,498.4840000000002,2.892000000000003,7.0,10.0,5.853871964321762
CHEMBL304722,O=C(CC(O)CCc1ccc(O)c(O)c1)O[C@H]1Cc2cc(O)c(O)cc2O[C@H]1c1ccc(O)c(O)c1,active,498.4840000000002,2.892000000000003,7.0,10.0,6.0
CHEMBL67076,O=C(CCc1ccc(O)c(O)c1)c1ccc(O)c(O)c1O,intermediate,290.271,2.0301000000000013,5.0,6.0,5.769551078621726
CHEMBL67076,O=C(CCc1ccc(O)c(O)c1)c1ccc(O)c(O)c1O,active,290.271,2.0301000000000013,5.0,6.0,6.0
CHEMBL177126,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)C[C@](O)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1,active,516.4550000000003,1.0295999999999996,7.0,11.0,6.6020599913279625
CHEMBL177126,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)C[C@](O)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1,active,516.4550000000003,1.0295999999999996,7.0,11.0,6.337242168318426
CHEMBL145335,O=C(O)C(=O)CC(=O)c1cccc(Cc2cccc(Cl)c2)c1,active,316.74,3.157300000000002,1.0,3.0,7.0
CHEMBL143614,O=C(O)C(=O)CC(=O)c1csc(Cc2ccccc2)c1,active,288.324,2.5654000000000012,1.0,4.0,6.795880017344075
CHEMBL143614,O=C(O)C(=O)CC(=O)c1csc(Cc2ccccc2)c1,active,288.324,2.5654000000000012,1.0,4.0,7.0
CHEMBL144118,O=C(O)C(=O)CC(=O)c1cccc(Cc2ccc(Cl)cc2)c1,active,316.74,3.157300000000002,1.0,3.0,6.0
CHEMBL144118,O=C(O)C(=O)CC(=O)c1cccc(Cc2ccc(Cl)cc2)c1,active,316.74,3.157300000000002,1.0,3.0,6.301029995663981
CHEMBL286494,Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65,inactive,504.4500000000004,5.081040000000003,6.0,8.0,5.0
CHEMBL53463,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,active,543.5250000000003,0.0012999999999993017,6.0,12.0,6.045757490560675
CHEMBL53463,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,intermediate,543.5250000000003,0.0012999999999993017,6.0,12.0,5.619788758288394
CHEMBL85802,O=C(O)C(=O)/C=C(\O)c1cccc(Cc2ccccc2F)c1,intermediate,300.285,2.969100000000002,2.0,3.0,5.6020599913279625
CHEMBL85802,O=C(O)C(=O)/C=C(\O)c1cccc(Cc2ccccc2F)c1,active,300.285,2.969100000000002,2.0,3.0,6.3979400086720375
CHEMBL292992,Cc1cccc2c1C(O)=C1C(=O)C3C(O)=C(C(=O)NCN4CCN(C(=N)N=C(N)N)CC4)C(=O)[C@@H](N(C)C)[C@@H]3C[C@@H]1C2(C)O,active,608.7000000000003,-0.4689099999999959,7.0,9.0,6.045757490560675
CHEMBL292992,Cc1cccc2c1C(O)=C1C(=O)C3C(O)=C(C(=O)NCN4CCN(C(=N)N=C(N)N)CC4)C(=O)[C@@H](N(C)C)[C@@H]3C[C@@H]1C2(C)O,active,608.7000000000003,-0.4689099999999959,7.0,9.0,6.522878745280337
CHEMBL86930,O=C(O)C(=O)/C=C(\O)c1cccc(OCc2ccc(COc3cccc(/C(O)=C/C(=O)C(=O)O)c3)cc2)c1,intermediate,518.4740000000003,3.9498000000000024,4.0,8.0,5.769551078621726
CHEMBL86930,O=C(O)C(=O)/C=C(\O)c1cccc(OCc2ccc(COc3cccc(/C(O)=C/C(=O)C(=O)O)c3)cc2)c1,intermediate,518.4740000000003,3.9498000000000024,4.0,8.0,5.721246399047171
CHEMBL87771,O=C(/C=C(\O)c1cccc(Cc2ccccc2F)c1)C(=O)NCCCCCCNC(=O)C(=O)/C=C(\O)c1cccc(Cc2ccccc2F)c1,inactive,680.7480000000004,6.575400000000006,4.0,6.0,4.494850021680094
CHEMBL87771,O=C(/C=C(\O)c1cccc(Cc2ccccc2F)c1)C(=O)NCCCCCCNC(=O)C(=O)/C=C(\O)c1cccc(Cc2ccccc2F)c1,intermediate,680.7480000000004,6.575400000000006,4.0,6.0,5.568636235841013
CHEMBL342295,O=C(O)C(=O)CC(=O)c1cccn1Cc1ccccc1,active,271.272,1.7629000000000001,1.0,4.0,6.657577319177793
CHEMBL147147,O=C(O)C(=O)CC(=O)c1cccc(Cc2ccc(F)cc2)c1,active,300.285,2.6430000000000007,1.0,3.0,7.0
CHEMBL86448,O=C(O)C(=O)/C=C(\O)c1cccc(OCc2cccc(COc3cccc(/C(O)=C/C(=O)C(=O)O)c3)c2)c1,intermediate,518.4740000000003,3.9498000000000024,4.0,8.0,5.136677139879544
CHEMBL86448,O=C(O)C(=O)/C=C(\O)c1cccc(OCc2cccc(COc3cccc(/C(O)=C/C(=O)C(=O)O)c3)c2)c1,active,518.4740000000003,3.9498000000000024,4.0,8.0,6.3979400086720375
CHEMBL282731,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H](C(=O)O)[C@@H](OC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)O,active,474.3740000000002,1.2283999999999997,6.0,10.0,6.698970004336019
CHEMBL216962,COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5C(C)CN(Cc6ccc([N+](=O)[O-])cc6)CC5C)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,inactive,972.1020000000002,6.591020000000008,6.0,17.0,4.686132779630847
CHEMBL216962,COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5C(C)CN(Cc6ccc([N+](=O)[O-])cc6)CC5C)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,inactive,972.1020000000002,6.591020000000008,6.0,17.0,4.705533773838407
CHEMBL431948,O=C(/C=C\c1ccc(O)c(O)c1)OC1CC(OC(=O)/C=C\c2ccc(O)c(O)c2)(C(=O)O)CC(O)C1O,active,516.4550000000003,1.0295999999999996,7.0,11.0,6.167491087293763
CHEMBL431948,O=C(/C=C\c1ccc(O)c(O)c1)OC1CC(OC(=O)/C=C\c2ccc(O)c(O)c2)(C(=O)O)CC(O)C1O,intermediate,516.4550000000003,1.0295999999999996,7.0,11.0,5.966576244513051
CHEMBL164,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,intermediate,318.237,1.6935999999999998,6.0,8.0,5.698970004336019
CHEMBL164,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,active,318.237,1.6935999999999998,6.0,8.0,6.221848749616356
CHEMBL145280,O=C(O)C(=O)CC(=O)c1cccc(Cc2ccccc2F)c1,active,300.285,2.6430000000000007,1.0,3.0,7.0
CHEMBL29898,O=C1c2ccc(O)c(O)c2C(=O)c2c(O)ccc(O)c21,inactive,272.212,1.2843999999999998,4.0,6.0,4.769551078621726
CHEMBL421353,O=C(O)C(=O)/C=C(\O)c1cccn1Cc1ccc(F)cc1,inactive,289.262,2.2281000000000004,2.0,4.0,4.838631997765025
CHEMBL421353,O=C(O)C(=O)/C=C(\O)c1cccn1Cc1ccc(F)cc1,active,289.262,2.2281000000000004,2.0,4.0,6.301029995663981
CHEMBL67233,O=C(/C=C\c1ccc(O)c(O)c1)OC1C(O)CC(OC(=O)/C=C\c2ccc(O)c(O)c2)(C(=O)O)CC1O,intermediate,516.4550000000003,1.0295999999999994,7.0,11.0,5.022276394711152
CHEMBL67233,O=C(/C=C\c1ccc(O)c(O)c1)OC1C(O)CC(OC(=O)/C=C\c2ccc(O)c(O)c2)(C(=O)O)CC1O,intermediate,516.4550000000003,1.0295999999999994,7.0,11.0,5.107905397309519
CHEMBL50605,O=C(O)C(=O)CC(=O)c1cccn1Cc1ccc(F)cc1,active,289.262,1.9020000000000001,1.0,4.0,6.769551078621726
CHEMBL145946,O=C(O)C(=O)CC(=O)c1ccn(Cc2ccccc2)c1,active,271.272,1.7629,1.0,4.0,6.301029995663981
CHEMBL145946,O=C(O)C(=O)CC(=O)c1ccn(Cc2ccccc2)c1,active,271.272,1.7629,1.0,4.0,6.221848749616356
