molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL324842,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,intermediate,9000.0
CHEMBL304722,O=C(CC(O)CCc1ccc(O)c(O)c1)O[C@H]1Cc2cc(O)c(O)cc2O[C@H]1c1ccc(O)c(O)c1,intermediate,1400.0
CHEMBL304722,O=C(CC(O)CCc1ccc(O)c(O)c1)O[C@H]1Cc2cc(O)c(O)cc2O[C@H]1c1ccc(O)c(O)c1,active,1000.0
CHEMBL67076,O=C(CCc1ccc(O)c(O)c1)c1ccc(O)c(O)c1O,intermediate,1700.0
CHEMBL67076,O=C(CCc1ccc(O)c(O)c1)c1ccc(O)c(O)c1O,active,1000.0
CHEMBL177126,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)C[C@](O)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1,active,250.0
CHEMBL177126,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)C[C@](O)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1,active,460.0
CHEMBL145335,O=C(O)C(=O)CC(=O)c1cccc(Cc2cccc(Cl)c2)c1,active,100.0
CHEMBL143614,O=C(O)C(=O)CC(=O)c1csc(Cc2ccccc2)c1,active,160.0
CHEMBL143614,O=C(O)C(=O)CC(=O)c1csc(Cc2ccccc2)c1,active,100.0
CHEMBL144118,O=C(O)C(=O)CC(=O)c1cccc(Cc2ccc(Cl)cc2)c1,active,1000.0
CHEMBL144118,O=C(O)C(=O)CC(=O)c1cccc(Cc2ccc(Cl)cc2)c1,active,500.0
CHEMBL286494,Cc1cc(O)c2c(=O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c78)c65,inactive,10000.0
CHEMBL53463,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,active,900.0
CHEMBL53463,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,intermediate,2400.0
CHEMBL85802,O=C(O)C(=O)/C=C(\O)c1cccc(Cc2ccccc2F)c1,intermediate,2500.0
CHEMBL85802,O=C(O)C(=O)/C=C(\O)c1cccc(Cc2ccccc2F)c1,active,400.0
CHEMBL292992,Cc1cccc2c1C(O)=C1C(=O)C3C(O)=C(C(=O)NCN4CCN(C(=N)N=C(N)N)CC4)C(=O)[C@@H](N(C)C)[C@@H]3C[C@@H]1C2(C)O,active,900.0
CHEMBL292992,Cc1cccc2c1C(O)=C1C(=O)C3C(O)=C(C(=O)NCN4CCN(C(=N)N=C(N)N)CC4)C(=O)[C@@H](N(C)C)[C@@H]3C[C@@H]1C2(C)O,active,300.0
CHEMBL86930,O=C(O)C(=O)/C=C(\O)c1cccc(OCc2ccc(COc3cccc(/C(O)=C/C(=O)C(=O)O)c3)cc2)c1,intermediate,1700.0
CHEMBL86930,O=C(O)C(=O)/C=C(\O)c1cccc(OCc2ccc(COc3cccc(/C(O)=C/C(=O)C(=O)O)c3)cc2)c1,intermediate,1900.0
CHEMBL87771,O=C(/C=C(\O)c1cccc(Cc2ccccc2F)c1)C(=O)NCCCCCCNC(=O)C(=O)/C=C(\O)c1cccc(Cc2ccccc2F)c1,inactive,32000.0
CHEMBL87771,O=C(/C=C(\O)c1cccc(Cc2ccccc2F)c1)C(=O)NCCCCCCNC(=O)C(=O)/C=C(\O)c1cccc(Cc2ccccc2F)c1,intermediate,2700.0
CHEMBL342295,O=C(O)C(=O)CC(=O)c1cccn1Cc1ccccc1,active,220.0
CHEMBL147147,O=C(O)C(=O)CC(=O)c1cccc(Cc2ccc(F)cc2)c1,active,100.0
CHEMBL86448,O=C(O)C(=O)/C=C(\O)c1cccc(OCc2cccc(COc3cccc(/C(O)=C/C(=O)C(=O)O)c3)c2)c1,intermediate,7300.0
CHEMBL86448,O=C(O)C(=O)/C=C(\O)c1cccc(OCc2cccc(COc3cccc(/C(O)=C/C(=O)C(=O)O)c3)c2)c1,active,400.0
CHEMBL282731,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H](C(=O)O)[C@@H](OC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)O,active,200.0
CHEMBL216962,COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5C(C)CN(Cc6ccc([N+](=O)[O-])cc6)CC5C)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,inactive,20600.0
CHEMBL216962,COC1/C=C/OC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5C(C)CN(Cc6ccc([N+](=O)[O-])cc6)CC5C)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\C(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,inactive,19700.0
